customer_id,name,email,phone_number,location,signup_date,is_premium,preferred_cuisine,total_orders,average_rating
8ad357cd-7c00-4121-89ce-aa16b3adc42d,Mrs. Michelle Anderson DDS,rfaulkner@example.org,808-945-1846x06057,South Donnashire,2021-06-23,False,Indian,7,2.0
06452f85-1622-4df2-880a-84ae3f916370,Jenny Collins,deankyle@example.net,776-561-9846,Melindaside,2024-07-04,True,Mexican,8,4.0
46588efb-dd3e-482e-a073-3d712fd8d582,William Johnson,powersjohn@example.net,+1-320-430-9563x342,Karabury,2021-10-11,False,Indian,1,1.0
11f78356-7e45-417e-8bc9-24d27c511d66,Terry Henderson,lamberttravis@example.net,396-845-9276,North Crystal,2020-09-01,True,Mexican,8,5.0
e68ed766-8969-4454-92c5-fbdf342cf01f,Alicia Barnes,ltapia@example.org,+1-697-815-6734x9284,North Danielleside,2020-06-27,False,Mexican,7,2.0
b6e202eb-380d-458f-9e1a-d54fd674e146,Thomas Ryan,swiggins@example.net,+1-974-867-1172,Port Sarahberg,2022-04-01,False,Italian,1,4.0
636a5623-2d65-4882-8622-3efd2e1fffca,Darlene Green,lisa22@example.net,5848370251,Lawsonport,2024-07-14,False,Italian,9,4.0
33c00e4d-f7c0-471d-8a44-7410704a38ea,Brandon Bauer,allen54@example.com,001-247-465-4190x762,Hamiltonfurt,2024-07-20,True,Indian,4,1.0
cebd9ff1-5cfe-4d67-a466-c86e92c5ddbd,Danielle Brooks,carolyndougherty@example.net,(802)693-0412x79285,Carlsonborough,2020-01-07,False,Mexican,4,1.0
4e361725-de9d-4f2b-bdeb-4dfc18246780,John Morris,kimstephen@example.com,+1-804-282-0068x441,Curtiston,2023-02-25,False,Mexican,7,5.0
b73df816-874c-4954-be18-d539265aebc6,Catherine Wilson,brandy02@example.net,9989703706,Melissafurt,2024-08-18,False,Mexican,4,1.0
840b1d1d-45c3-44de-ad91-72488dfae895,Joseph Hall,brian06@example.net,626.589.5904x1263,Torreshaven,2023-03-20,True,Mexican,4,2.0
f415ad0d-e370-459e-9f9b-a0030fa0f2a7,Anthony Wilson,thomasmichael@example.com,001-219-453-7258x490,Lake Kevintown,2023-02-23,True,Italian,3,2.0
328d8440-f263-4c23-b352-b475c9a60bf7,Joseph Dougherty,csmith@example.org,583-637-1237,Hartmanstad,2022-01-24,False,Italian,9,5.0
e871ffde-efc9-4123-b9cb-cf66fd61f44c,Ashley Cox,marystevens@example.org,+1-214-577-6539,Tammyland,2021-09-02,False,Arabian,9,2.0
94a7e07e-8235-4a66-8688-9b9aeb44c08b,Kevin Leonard,robert13@example.net,001-280-385-2643,Port Noahmouth,2022-02-16,False,Italian,7,3.0
0f88bfc6-a7b1-45f5-a9a2-f9c39a554115,Daniel Bruce,martinmercedes@example.com,518-525-6891x6941,West Angela,2020-05-31,False,Italian,9,4.0
6faba398-6635-408d-a439-cd997a74da3d,Joseph Olson,adavenport@example.com,202.878.2275x741,Huntport,2020-09-17,True,Arabian,1,5.0
4cf5b34c-a665-4df4-bcf1-a78f4a687d1d,Amy Moore,ojohnson@example.com,+1-863-701-2342,West Megan,2025-04-22,False,Chinese,9,3.0
35a61a86-8fd8-445d-8d56-92ba2d8abb35,Alison Ray,gary63@example.net,344.905.4083,Lake Cherylchester,2022-02-03,True,Indian,1,5.0
d134c417-6289-4f8e-8b0c-4815f9fc2114,Edgar Thompson,warehannah@example.com,+1-892-572-6171x5778,Robertshire,2023-09-04,False,Mexican,5,3.0
2649f47d-3783-4892-9e22-fb8ad26650c8,Tina Smith,jonesnoah@example.org,2835122828,East Richardmouth,2020-08-11,True,Indian,9,4.0
c333699e-8dbc-49ed-beee-45147a3dc674,Todd Aguilar,caldwellkaren@example.org,447-500-7417,West Melissastad,2024-06-20,False,Indian,3,1.0
d6086355-b1a2-46be-bc37-0ca5efd3aded,Alan Hill,molson@example.com,222.756.2347x84057,Sherylview,2024-07-29,True,Arabian,5,1.0
d32f7fba-a208-49f3-9f48-3915c14c858f,Bryan Moore,nicole30@example.com,932.819.7766,Lake Rebekah,2020-10-25,False,Italian,5,1.0
6661a3b5-8f47-4653-bf8c-36c36d4e0e91,Dustin Clark,estradamichael@example.net,294.811.7227,Jeremiahland,2022-05-31,True,Chinese,1,3.0
79771087-8623-44f0-b1f7-e3b7b903c5ab,Stephen Brooks,roachtimothy@example.com,+1-263-818-0358x124,Taylorland,2023-06-08,False,Mexican,8,3.0
9ebeb9a1-dc2b-4326-9124-3be80f641181,Natalie Cox,hartangel@example.com,254-204-2094x66026,Wallaceberg,2020-03-04,False,Italian,2,1.0
4e506919-f4f9-4448-a409-fe6919ba96be,Maria Cruz,watsonkatherine@example.org,799.264.9697x822,Lauraburgh,2020-10-31,False,Italian,3,5.0
b5b83a8f-6ecb-4fd2-aec2-f62b8a17af0e,Beth Osborn,wardmatthew@example.com,(985)532-9917x12901,East Vanessa,2023-11-14,True,Arabian,1,2.0
00e6419a-0d36-45a0-8b6e-5d61d23a72e3,Edward Case,ggutierrez@example.org,(984)635-9915,Port Michelletown,2024-04-30,False,Indian,5,3.0
7da5c75e-9376-4a69-9993-c56522900099,Christopher Cox,brendan84@example.org,001-581-990-9262x7615,East Beverly,2024-10-02,True,Indian,2,2.0
69936be0-e525-4d94-8189-476174d157f0,Garrett Vargas,mary28@example.net,+1-788-413-6123x697,Hendersonland,2022-11-04,False,Mexican,3,1.0
